Time_hr,Q_true,WHP_true,FLP_true,BHP_true,Q_target,Q_achievable,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi,Q_seen,WHP_seen,FLP_seen,BHP_seen,Choke_pct,Choke_cmd,dChoke,u_tracking_error,mode,active_constraints,u_ss,n_feasible,n_candidates,bad_tags,WHT_F,AP_psi,Pr_psi,water_cut
1.0,114.69171675795751,258.7124440176476,179.7802359552535,3074.394124737852,120.0,120.04240244947064,115.78242441719487,258.5198493272225,180.0251156901922,3073.4785705332088,113.71760594513829,259.31912945976967,180.5047093554507,3078.189063272533,42.0,42.0,2.0,0.0,TRACKING,,42.900000000000006,451,451,,145.43096998815926,269.0083949585574,3568.8,0.0
2.0,115.51702274921786,258.29953192766004,179.42902373269214,3072.6627511873103,120.0,120.03379557873315,114.66211364141405,257.94760236739063,179.4902967849961,3070.3748143644607,115.78242441719487,258.5198493272225,180.0251156901922,3073.4785705332088,43.0,43.0,1.0,0.0,TRACKING,,42.800000000000004,451,451,,145.52449182672038,269.33572139352134,3568.8,0.0
3.0,116.21345807238883,257.92659783108763,179.1259078272945,3071.0547285906077,120.0,119.95839165392368,116.09857546055747,258.4867228689616,179.38261108813586,3072.485587728559,114.66211364141405,257.94760236739063,179.4902967849961,3070.3748143644607,43.0,43.0,0.0,0.0,TRACKING,,42.85,451,451,,145.61345255139312,269.6470839298759,3568.8,0.0
4.0,116.80114574762256,257.5897710736283,178.8643017492515,3069.5612688628116,120.0,119.99587800905836,117.00821920437421,257.50213317764195,178.02381744065863,3072.039915261901,116.09857546055747,258.4867228689616,179.38261108813586,3072.485587728559,43.0,43.0,0.0,0.0,TRACKING,,42.900000000000006,451,451,,145.69807461032676,269.94326113614363,3568.8,0.0
5.0,117.29706660650298,257.28555575627513,178.63852098733716,3068.1742100222687,120.0,119.97882937001123,116.39307056184957,257.39359827785626,178.58974471110272,3068.517391087331,117.00821920437421,257.50213317764195,178.02381744065863,3072.039915261901,43.0,43.0,0.0,0.0,TRACKING,,42.900000000000006,451,451,,145.77856960274624,270.22499360961183,3568.8,0.0
6.0,117.71554994150722,257.01079445164976,178.44365948858314,3066.8859715841504,120.0,119.97729559277789,117.86695200262854,256.84387316540966,178.8491020741325,3063.6732182848964,116.39307056184957,257.39359827785626,178.58974471110272,3068.517391087331,43.0,43.0,0.0,0.0,TRACKING,,43.0,451,451,,145.85513880806064,270.4929858282122,3568.8,0.0
7.0,118.06868754106623,256.7626354333061,178.27548305328938,3065.6895131319657,120.0,119.96596918889738,118.54383028993449,255.9166619691215,178.80933261638728,3064.417093684858,117.86695200262854,256.84387316540966,178.8491020741325,3063.6732182848964,43.0,43.0,0.0,0.0,TRACKING,,43.0,451,451,,145.92797368916632,270.74790791208216,3568.8,0.0
8.0,118.36668307348337,256.53850307788133,178.13033732892123,3064.578295840627,120.0,120.00137248501322,118.59111452615902,257.29253070736,177.15713023677918,3063.791725395597,118.54383028993449,255.9166619691215,178.80933261638728,3064.417093684858,43.0,43.0,0.0,0.0,TRACKING,,43.0,451,451,,145.99725637120406,270.99039729921424,3568.8,0.0
9.0,118.61814691491934,256.33607113289884,178.00506840366688,3063.5462467407897,120.0,119.99251596345943,118.96224585964879,256.7857101939984,178.61629374145028,3065.061611062803,118.59111452615902,257.29253070736,177.15713023677918,3063.791725395597,43.0,43.0,0.0,0.0,TRACKING,,43.0,451,451,,146.06316009696667,271.22106033938337,3568.8,0.0
10.0,118.83034494029513,256.15323857277275,177.89695427421051,3062.5877255291625,120.0,120.00313860595875,119.13882656171926,256.2064075547037,178.01645884120697,3062.765177447916,118.96224585964879,256.7857101939984,178.61629374145028,3065.061611062803,43.0,43.0,0.0,0.0,TRACKING,,43.0,451,451,,146.1258496600963,271.44047381033704,3568.8,0.0
11.0,119.00940846575574,255.988107792425,177.80364569856513,3061.6974937434034,120.0,120.0080811836671,119.60449446032686,256.0677747114294,178.10463809022653,3065.7378405723653,119.13882656171926,256.2064075547037,178.01645884120697,3062.765177447916,43.0,43.0,0.0,0.0,TRACKING,,43.0,451,451,,146.18548181715428,271.64918636004,3568.8,0.0
12.0,119.16051140883731,255.83896491218837,177.72311514874016,3060.870686133136,120.0,119.96208332079621,119.86262220846825,255.66690248420818,177.6765731822134,3062.7077453495285,119.60449446032686,256.0677747114294,178.10463809022653,3065.7378405723653,43.0,43.0,0.0,0.0,TRACKING,,42.95,451,451,,146.2422056795943,271.84771987858005,3568.8,0.0
13.0,119.28801978525948,255.70426198958097,177.65361275402182,3060.1027840706265,120.0,120.02226683953803,118.90263768495667,254.78880268401,177.19846722538938,3061.4494258721584,119.86262220846825,255.66690248420818,177.6765731822134,3062.7077453495285,43.0,43.0,0.0,0.0,TRACKING,,42.95,451,451,,146.29616308661858,272.03657080316503,3568.8,0.0
14.0,119.39561786194976,255.58260095333046,177.59362827754572,3059.389590855804,120.0,120.00801615249996,119.26898151775504,255.4041440531456,177.9298092325389,3056.7603470824633,118.90263768495667,254.78880268401,177.19846722538938,3061.4494258721584,43.0,43.0,0.0,0.0,TRACKING,,43.0,451,451,,146.34748895984984,272.2162113594744,3568.8,0.0
15.0,119.486414611405,255.47271909289978,177.54185829993997,3058.727208780664,120.0,119.95650830559696,120.8451175667815,255.48423787114072,177.3959777405141,3063.8196840564224,119.26898151775504,255.4041440531456,177.9298092325389,3056.7603470824633,43.0,43.0,0.0,0.0,TRACKING,,43.0,451,451,,146.3963116407056,272.3870907424696,3568.8,0.0
