Time_hr,Q_true,WHP_true,FLP_true,BHP_true,Q_target,Q_achievable,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi,Q_seen,WHP_seen,FLP_seen,BHP_seen,Choke_pct,Choke_cmd,dChoke,u_tracking_error,mode,active_constraints,u_ss,n_feasible,n_candidates,bad_tags,WHT_F,AP_psi,Pr_psi,water_cut
1.0,123.5215523202646,251.42894616656838,175.43599825496304,3034.066343490417,120.0,120.04240244947064,124.49281805426504,250.8261670952452,175.15386829297867,3030.764685461404,123.81602268194953,251.79716160126333,175.6384647895798,3035.2872854316483,44.0,44.0,-1.0,0.0,TRACKING,,42.900000000000006,451,451,,148.53760187085908,279.88160654800674,3568.8,0.0
2.0,123.19450199155095,251.60714669733355,175.58195698925195,3034.761484373806,120.0,120.00035522524362,123.12985048678213,252.10652852499206,175.57208044043028,3036.0011845399667,124.49281805426504,250.8261670952452,175.15386829297867,3030.764685461404,43.75,43.75,-0.25,0.0,TRACKING,,42.800000000000004,451,451,,148.50234501834973,279.75820756422405,3568.8,0.0
3.0,122.6162723194654,251.91987051641235,175.8381521882702,3036.0033117163557,120.0,119.97343545063359,121.4698111209594,251.9934025993515,175.4300277252035,3040.441785184471,123.12985048678213,252.10652852499206,175.57208044043028,3036.0011845399667,42.75,42.75,-1.0,0.0,TRACKING,,42.800000000000004,451,451,,148.4383721359372,279.5343024757801,3568.8,0.0
4.0,122.12833260642518,252.2023165328231,176.05926305719896,3037.156665611243,120.0,119.98657561972828,122.66044205230045,252.67699127445212,176.03322832407352,3038.6888212969434,121.4698111209594,251.9934025993515,175.4300277252035,3040.441785184471,42.75,42.75,0.0,0.0,TRACKING,,42.900000000000006,451,451,,148.37751924781625,279.32131736735687,3568.8,0.0
5.0,121.7165841696785,252.45741623204427,176.25009417560315,3038.2278493106787,120.0,119.99621363331512,122.1113182669112,252.285214898834,176.02627675963,3037.9409173521617,122.66044205230045,252.67699127445212,176.03322832407352,3038.6888212969434,42.75,42.75,0.0,0.0,TRACKING,,42.85,451,451,,148.31963419006976,279.11871966524416,3568.8,0.0
6.0,121.3691298210521,252.68781727423175,176.41479216592728,3039.222716994416,120.0,119.97047629255057,121.00585861544184,252.39064756547933,176.2872732469055,3037.401672676457,122.1113182669112,252.285214898834,176.02627675963,3037.9409173521617,42.75,42.75,0.0,0.0,TRACKING,,42.800000000000004,451,451,,148.2645722199024,278.92600276965834,3568.8,0.0
7.0,121.07593010587345,252.89591097407987,176.5569357966079,3040.146705763724,120.0,120.01018740141946,121.5357267774407,252.09786780718215,176.92753875448494,3038.582789588078,121.00585861544184,252.39064756547933,176.2872732469055,3037.401672676457,42.75,42.75,0.0,0.0,TRACKING,,42.85,451,451,,148.2121956537082,278.74268478797865,3568.8,0.0
8.0,120.82851321982582,253.0838571200927,176.6796137461281,3041.004865355964,120.0,119.98884670838922,120.50094924640936,252.40843354915978,176.61470479264605,3040.3857115827955,121.5357267774407,252.09786780718215,176.92753875448494,3038.582789588078,42.75,42.75,0.0,0.0,TRACKING,,42.800000000000004,451,451,,148.16237352278998,278.56830732976493,3568.8,0.0
9.0,120.61973022198353,253.2536063908628,176.78549171777144,3041.8018857421575,120.0,120.02571302178325,120.73460372030637,252.98671924290034,176.827681998458,3046.35111533748,120.50094924640936,252.40843354915978,176.61470479264605,3040.3857115827955,42.75,42.75,0.0,0.0,TRACKING,,42.85,451,451,,148.11498124586925,278.4024343605424,3568.8,0.0
10.0,120.44354847107579,253.4069206010144,176.87687036342984,3042.542122758387,120.0,120.0387929190234,120.68894828774795,253.12007558243656,177.30576968128725,3042.220119923464,120.73460372030637,252.98671924290034,176.827681998458,3046.35111533748,42.75,42.75,0.0,0.0,TRACKING,,42.85,451,451,,148.06990031756814,278.2446511114885,3568.8,0.0
11.0,120.2948773164621,253.54539098694164,176.95573527510848,3043.2296219110917,120.0,119.97034319531531,120.65120199732085,253.85176470141548,176.77975570256606,3038.403903167277,120.68894828774795,253.12007558243656,177.30576968128725,3042.220119923464,42.75,42.75,0.0,0.0,TRACKING,,42.800000000000004,451,451,,148.02701801208434,278.0945630422952,3568.8,0.0
12.0,120.1694210072798,253.67045472212885,177.0238001304066,3043.868140486368,120.0,120.00586134569356,119.96082883332683,253.94618243402863,176.85275044746658,3044.9655637735755,120.65120199732085,253.85176470141548,176.77975570256606,3038.403903167277,42.75,42.75,0.0,0.0,TRACKING,,42.800000000000004,451,451,,147.98622710131772,277.95179485461205,3568.8,0.0
13.0,120.0635545696743,253.78340983346362,177.0825439294948,3044.4611680841017,120.0,120.04274697736984,120.65127879267028,253.51135312593158,177.63665221813838,3048.5156792383223,119.96082883332683,253.94618243402863,176.85275044746658,3044.9655637735755,42.75,42.75,0.0,0.0,TRACKING,,42.85,451,451,,147.94742558674432,277.8159895536051,3568.8,0.0
14.0,119.9742190656703,253.88542867335792,177.13324313272085,3045.0119456891575,120.0,120.01361517747699,120.62164663219275,254.46816009367154,177.62680153422025,3050.6482933405855,120.65127879267028,253.51135312593158,177.63665221813838,3048.5156792383223,42.75,42.75,0.0,0.0,TRACKING,,42.800000000000004,451,451,,147.91051644436692,277.6868075552842,3568.8,0.0
