backoff_mode,WHP_min,WHP_max,FLP_min,FLP_max,BHP_min,BHP_max,binding_constraint,max_safe_rate,achieved_rate,pct_of_max_safe,violating_intervals,max_abs_move_pct
fixed 5 psi (submitted),211.87296739258957,325.235260546349,144.4608173321262,207.1391730515049,2801.6548800155074,3273.420322208604,WHP_min,161.1381857842584,156.99288531263255,97.42748718967468,0,5.0000000000000036
fixed 5 psi (submitted),222.69723473285504,325.3233290471713,152.11195112383837,205.53232275043925,2865.1444182438104,3334.5118710510983,WHP_min,152.20341865812932,147.71948359780578,97.05398531790202,0,5.0
fixed 5 psi (submitted),236.19396500845764,311.63022635867065,131.59130608264013,213.15399339993516,2928.945699377374,3257.239839250284,WHP_min,139.88543520957128,134.69690205513183,96.2908696343789,0,5.0000000000000036
fixed 5 psi (submitted),191.89344185036893,319.0885096079838,156.55380622539352,209.10038760110825,2788.3178392253117,3267.64623628933,FLP_min,155.48275912559785,147.76163509153514,95.03409633487038,0,5.0
fixed 5 psi (submitted),210.358358043911,324.4653121997703,133.68268724288504,201.12699042309174,2860.208999158661,3278.772572220288,WHP_min,162.38546903529712,158.15788220541833,97.39657319402154,0,5.0
fixed 5 psi (submitted),184.04542322905618,323.197937941238,157.8490642431169,205.97503326647353,2808.815272033657,3291.568133415544,FLP_min,153.61894016172238,145.67805055726112,94.83078740414334,0,5.0000000000000036
fixed 5 psi (submitted),201.65828554970105,317.30722929348786,146.1128031244991,205.33023771759045,2877.4841958476363,3351.365116292119,BHP_min,159.87829926646697,158.73488843506777,99.28482424653924,0,5.000000000000002
fixed 5 psi (submitted),213.49673687850205,311.61884745155623,149.95611127756536,208.87854174821166,2818.0647714761335,3295.480151899637,WHP_min,159.87829926646697,155.6309625292095,97.34339384597877,0,5.0
fixed 5 psi (submitted),212.74493274115719,318.37025217005555,149.43193755687236,205.74257013346784,2863.154781443251,3397.865445279463,WHP_min,160.4727677853286,156.18955864116296,97.3308809941538,0,5.0
fixed 5 psi (submitted),205.6814711426371,325.2904414376997,128.25294765227827,213.12842380552956,2938.3412311059774,3289.2796023780907,BHP_min,145.80778834587846,144.4699936534865,99.08249435262093,0,5.0000000000000036
fixed 5 psi (submitted),180.72608494033156,314.490252403014,132.3084903064911,214.57446881427902,2929.5396870235095,3394.099732889541,BHP_min,147.78268470343426,146.4472106377211,99.09632575129275,0,5.0
fixed 5 psi (submitted),216.23217946444515,315.4548110070793,158.30871397520923,209.7852344853353,2799.711535273449,3390.1429057386795,FLP_min,152.99170014267622,144.90119621967887,94.71180206805182,0,5.0
fixed 5 psi (submitted),206.38196699793187,323.206686849279,145.03751827953948,202.7503436465769,2809.185369401883,3336.1616153204227,WHP_min,165.414066349887,161.43172047461476,97.59249865313829,0,5.0
fixed 5 psi (submitted),188.58012505585683,300.41213575849434,142.35564897399726,211.4329575778883,2872.8314547485775,3298.6219563711065,BHP_min,160.91677352799726,159.59970264155842,99.181520448389,0,5.0
fixed 5 psi (submitted),223.0344563577296,314.5354389932962,164.98005409028107,211.64047478667172,2916.126288254352,3288.9323359208165,FLP_min,142.53819379010648,133.74614136161628,93.83179189050419,0,5.0000000000000036
