violating_intervals,worst_excursion_psi,rate_last30,offset,max_move,trial,scenario,gain_Q,gain_BHP,tau_Q,tau_BHP,worst_gain_err,worst_tau_err
0,0.0,150.17604279726223,0.18029771619376334,5.0,0,B,1.0821770123928727,0.7099165813171174,1.3132702392002724,1.2294965609839985,0.29008341868288257,0.41275557727772183
0,0.0,164.90914524236834,-0.04058736008886399,5.0,0,C,1.0821770123928727,0.7099165813171174,1.3132702392002724,1.2294965609839985,0.29008341868288257,0.41275557727772183
0,0.0,149.9471791878088,-0.056523498086619384,5.0,1,B,1.0261749948792538,0.7016431001020889,1.3574042765875693,0.675655620602559,0.29835689989791114,0.46641442469453565
4,0.11877348704820179,164.64515525384707,-0.3275695406283887,5.0,1,C,1.0261749948792538,0.7016431001020889,1.3574042765875693,0.675655620602559,0.29835689989791114,0.46641442469453565
0,0.0,150.0426756298339,0.04424925864066154,5.0,2,B,1.2179073534099318,0.953612332718595,0.528319671145463,1.14718951157425,0.21790735340993184,0.47168032885453703
0,0.0,164.96189087615306,-0.1526574541457535,5.0,2,C,1.2179073534099318,0.953612332718595,0.528319671145463,1.14718951157425,0.21790735340993184,0.47168032885453703
0,0.0,150.00177189107427,0.0029641805718938485,5.0,3,B,1.0692310668887524,1.2885012032657381,1.1855419844806947,0.8889214239791038,0.29832596147352675,0.18844673057094008
0,0.0,164.89396111012783,-0.1627821552937121,5.0,3,C,1.0692310668887524,1.2885012032657381,1.1855419844806947,0.8889214239791038,0.29832596147352675,0.18844673057094008
0,0.0,149.9464160175798,-0.05149950619784249,5.0,4,B,0.7810579030134467,0.8861451253353734,0.9858353588317891,0.8577951967090702,0.21894209698655331,0.4340435159562497
0,0.0,164.9518087660341,-0.19600530530024685,5.0,4,C,0.7810579030134467,0.8861451253353734,0.9858353588317891,0.8577951967090702,0.21894209698655331,0.4340435159562497
0,0.0,149.85903375312253,-0.13734363412282846,5.0,5,B,1.0429178984378566,0.90274673530428,0.8916190005281612,1.1231871446860424,0.10687836535443473,0.3902743520047922
0,0.0,165.03346280001008,-0.2690532731516839,5.0,5,C,1.0429178984378566,0.90274673530428,0.8916190005281612,1.1231871446860424,0.10687836535443473,0.3902743520047922
0,0.0,150.11389552711776,0.11427555281596824,5.0,6,B,0.7504092061494309,0.8436216657957712,1.376484230810704,0.6502794668948391,0.24959079385056915,0.44143196519480565
11,1.0179402054754974,165.03499286935846,-0.0342887935762235,5.0,6,C,0.7504092061494309,0.8436216657957712,1.376484230810704,0.6502794668948391,0.24959079385056915,0.44143196519480565
0,0.0,150.0059387053924,0.009532383807908218,5.0,7,B,0.9702036199895722,0.7312127806386457,0.9045518398215282,1.0803323859868508,0.2687872193613543,0.4092469543808781
0,0.0,164.7825264193892,-0.32624280204981915,5.0,7,C,0.9702036199895722,0.7312127806386457,0.9045518398215282,1.0803323859868508,0.2687872193613543,0.4092469543808781
0,0.0,149.92473055658053,-0.0679434831848198,5.0,8,B,0.8792176796913536,1.2652678663038988,0.8651101682448286,1.4271545530678673,0.26526786630389876,0.4271545530678673
0,0.0,163.8737209700897,-0.16713789223265962,5.0,8,C,0.8792176796913536,1.2652678663038988,0.8651101682448286,1.4271545530678673,0.26526786630389876,0.4271545530678673
0,0.0,149.99438347938383,-0.008994247534928945,5.0,9,B,0.9642262928294704,0.9551371749094453,1.1202134520153777,0.9600451393090961,0.27275429621444225,0.495096505235324
0,0.0,164.98941596154236,-0.11978062431617786,5.0,9,C,0.9642262928294704,0.9551371749094453,1.1202134520153777,0.9600451393090961,0.27275429621444225,0.495096505235324
0,0.0,150.01724154559412,0.01473031678881398,5.0,10,B,1.154637307184975,1.1714714204282846,0.9146558493556708,1.4320596866133783,0.17147142042828456,0.43205968661337835
0,0.0,164.08286610505974,-0.08440606331350864,5.0,10,C,1.154637307184975,1.1714714204282846,0.9146558493556708,1.4320596866133783,0.17147142042828456,0.43205968661337835
0,0.0,149.83303526807774,-0.16848845625858644,5.0,11,B,0.7689595799685431,1.2807557139547878,0.5147063049653693,1.4572101796109636,0.2807557139547878,0.4852936950346307
0,0.0,163.6498366049709,-0.10661600242337954,5.0,11,C,0.7689595799685431,1.2807557139547878,0.5147063049653693,1.4572101796109636,0.2807557139547878,0.4852936950346307
