Time_hr,Q_true,WHP_true,FLP_true,BHP_true,Q_target,Q_achievable,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi,Q_seen,WHP_seen,FLP_seen,BHP_seen,Choke_pct,Choke_cmd,dChoke,u_tracking_error,mode,active_constraints,u_ss,n_feasible,n_candidates,bad_tags,WHT_F,AP_psi,Pr_psi,water_cut
1.0,69.20668788310584,281.12372886531546,198.5248695568346,3273.5536052989387,100.0,99.97096957589415,69.74990140310972,281.34691615149745,198.28324060092248,3275.0064005594295,67.72904696785712,281.8308172996923,199.23153668428253,3273.6195109304217,23.0,23.0,5.0,0.0,TRACKING,,32.85,289,451,,123.3166213455192,191.60817470931718,3568.8,0.0
2.0,72.31363024738025,280.4350320289951,197.46486614284805,3267.142674054872,100.0,99.97547220501723,72.5323736850919,280.58209827732287,197.47765615144016,3268.509456521403,69.74990140310972,281.34691615149745,198.28324060092248,3275.0064005594295,28.0,28.0,5.0,0.0,TRACKING,,32.85,419,451,,123.89291377574298,193.62519821510045,3568.8,0.0
3.0,76.10084667681905,279.4487581189089,196.13293160476556,3258.8895902209474,100.0,99.94871772861144,75.65897422461805,279.3673031449124,195.91597791405957,3260.386705752534,72.5323736850919,280.58209827732287,197.47765615144016,3268.509456521403,31.5,31.5,3.5,0.0,TRACKING,,32.9,451,451,,124.60768522669817,196.1268982934436,3568.8,0.0
4.0,79.95393379578114,278.3262229022494,194.74055482726817,3249.928026985221,100.0,99.96044474751066,79.97776706027014,278.17999452676685,194.3886960192076,3249.285046383674,75.65897422461805,279.3673031449124,195.91597791405957,3260.386705752534,33.5,33.5,2.0,0.0,TRACKING,,33.050000000000004,451,451,,125.37447849232443,198.8106747231355,3568.8,0.0
5.0,83.28698991008329,277.28226367830456,193.50826972538252,3241.443914627794,100.0,100.01143093229638,83.2918752183943,277.1444622256549,194.09059844186172,3243.9607254160587,79.97776706027014,278.17999452676685,194.3886960192076,3249.285046383674,33.75,33.75,0.25,0.0,TRACKING,,33.2,451,451,,126.11433433136119,201.40017015976417,3568.8,0.0
6.0,86.09959279518549,276.3393801941905,192.44473836066513,3233.5642491567373,100.0,100.05155757985864,84.4728953078059,275.39487357120663,192.3660909192403,3232.5087731277963,83.2918752183943,277.1444622256549,194.09059844186172,3243.9607254160587,33.75,33.75,0.0,0.0,TRACKING,,33.35,451,451,,126.81810697534162,203.86337441369568,3568.8,0.0
7.0,88.55450981401137,275.45743294404855,191.4962141663735,3226.0852025674667,100.0,99.96753852873829,88.68269561251053,275.5660939095598,192.44924160614647,3223.305150660736,84.4728953078059,275.39487357120663,192.3660909192403,3232.5087731277963,34.0,34.0,0.25,0.0,TRACKING,,33.550000000000004,451,451,,127.49792905636372,206.242751697273,3568.8,0.0
8.0,90.62609410573933,274.66087549530414,190.6775844277856,3219.138997392059,100.0,100.00428316080708,90.39953110146313,275.6822612990503,190.96860077607644,3220.7966558229996,88.68269561251053,275.5660939095598,192.44924160614647,3223.305150660736,34.0,34.0,0.0,0.0,TRACKING,,33.65,451,451,,128.14459582325725,208.50608538140037,3568.8,0.0
9.0,92.37420267512246,273.9414404394683,189.97106091163957,3212.6876715762687,100.0,100.01638647505628,92.06579885210998,273.11740285404045,190.0464200465398,3212.9602067958226,90.39953110146313,275.6822612990503,190.96860077607644,3220.7966558229996,34.0,34.0,0.0,0.0,TRACKING,,33.75,451,451,,128.7597242797731,210.6590349792059,3568.8,0.0
10.0,93.84934591817233,273.2916608154356,189.36129137195925,3206.695967655856,100.0,99.9532667284534,93.11293468562559,272.95004748454534,189.328871716082,3204.334088598204,92.06579885210998,273.11740285404045,190.0464200465398,3212.9602067958226,34.0,34.0,0.0,0.0,TRACKING,,33.800000000000004,451,451,,129.3448525674587,212.70698398610546,3568.8,0.0
11.0,95.09414708534673,272.70479261046955,188.83502595683174,3201.1311400692503,100.0,99.97148028604482,95.0351851046354,272.75253412420426,188.85103976350672,3199.8654109234644,93.11293468562559,272.95004748454534,189.328871716082,3204.334088598204,34.0,34.0,0.0,0.0,TRACKING,,33.9,451,451,,129.90144381181298,214.65505334134542,3568.8,0.0
12.0,96.14457385108582,272.17474476461285,188.38082929869017,3195.962776198141,100.0,100.03626405514855,96.50082269415732,272.620328241754,188.52521103574512,3193.9172006296653,95.0351851046354,272.75253412420426,188.85103976350672,3199.8654109234644,34.0,34.0,0.0,0.0,TRACKING,,33.95,451,451,,130.43088978086223,216.5081142330178,3568.8,0.0
13.0,97.0309775750522,271.6960159520449,187.9888320320315,3191.1626301579504,100.0,99.98402867894939,97.46996894532347,271.44529594281136,188.38445431026108,3188.4831616157567,96.50082269415732,272.620328241754,188.52521103574512,3193.9172006296653,34.0,34.0,0.0,0.0,TRACKING,,33.9,451,451,,130.93451436530518,218.27080027856812,3568.8,0.0
14.0,97.77897028381437,271.26363748324394,187.65051633922872,3186.7044684298344,100.0,99.95889303270965,98.32765060569164,271.2536057559362,187.08857933857823,3185.9197197499175,97.46996894532347,271.44529594281136,188.38445431026108,3188.4831616157567,34.0,34.0,0.0,0.0,TRACKING,,33.85,451,451,,131.41357688892924,219.94751911125235,3568.8,0.0
15.0,98.41016471275677,270.87312173534104,187.3585308645027,3182.5639264905626,100.0,99.96052672609036,98.44262608001969,271.00951740492326,186.91654620827927,3179.79549387265,98.32765060569164,271.2536057559362,187.08857933857823,3185.9197197499175,34.0,34.0,0.0,0.0,TRACKING,,33.800000000000004,451,451,,131.86927525757602,221.54246340151607,3568.8,0.0
