,steps,overshoot_pct_of_step,safety_margin_pct_of_span,tightest_constraint,settled_choke_move_std_pct,settled_choke_move_max_pct,final_target_requested,final_target_achievable,final_rate_mean,steady_state_offset,IAE_vs_achievable,settling_time_h,constraint_violations_true,constraint_violations_measured,max_abs_move_pct,mean_abs_move_pct,total_choke_travel_pct,min_BHP,min_WHP,min_FLP,modes,hours_to_re_enter_envelope
A,90,1.93,5.88,BHP,0.045,0.25,100.0,99.99460999799082,100.22940106201551,0.23479106402469085,2.255090785374256,14.0,0,0,5.0,0.20555555555555555,18.5,3135.6093638033926,268.16794100474317,186.1491991059615,['TRACKING'],
B,140,2.25,15.51,BHP,0.112,0.25,150.0,149.99792295017212,150.16763685423422,0.16971390406209252,2.670111927133129,16.0,0,0,5.0,0.275,38.5,2919.7728887779754,225.02956937932538,159.6970215353899,['TRACKING'],
C,140,2.41,1.01,BHP,0.258,1.0,200.0,165.17783471603815,164.89190230380325,-0.2859324122348994,2.4868441445332907,16.0,0,2,5.0,0.2910714285714286,40.75,2854.5412952621,206.11862130972753,148.64208668569995,"['CONSTRAINED', 'TRACKING']",
RECOVERY,90,2.73,1.9,BHP,0.045,0.25,100.0,99.99642415295537,100.23017096313515,0.23374681017978105,3.6659361542778286,14.0,0,0,5.0,0.32222222222222224,29.0,3135.6770518430153,268.15302442111386,185.89765997716265,"['RECOVERY', 'TRACKING']",5.0
