scenario,controller,violating_intervals,violation_pct,mean_rate_last30,min_BHP,min_WHP,min_FLP,BHP_shortfall,WHP_shortfall,total_oil_bbl,total_choke_travel
A,MPC,0,0.0,100.22940106201551,3135.6093638033926,268.16794100474317,186.1491991059615,0.0,0.0,8831.513960375485,18.5
A,PI,0,0.0,100.14632324400581,3135.8854462933023,268.1513810954027,186.1254214882186,0.0,0.0,8766.860020694996,54.383058337391205
A,OPERATOR,0,0.0,99.51854801106477,3138.733996693318,268.592007800956,186.49994988977286,0.0,0.0,8752.154645558754,14.899999999999999
B,MPC,0,0.0,150.16763685423422,2919.7728887779754,225.02956937932538,159.6970215353899,0.0,0.0,18676.22203403836,38.5
B,PI,0,0.0,150.18104529618938,2919.253437002307,224.8621253248781,159.949408859438,0.0,0.0,18574.06415355407,101.93314302807016
B,OPERATOR,0,0.0,150.29211281533324,2919.1879478316496,224.9735258328039,160.1058754279318,0.0,0.0,18617.726395037593,28.1
C,MPC,0,0.0,164.89190230380325,2854.5412952621,206.11862130972753,148.64208668569995,0.0,0.0,21462.76657522717,40.75
C,PI,97,69.28571428571429,199.9386665427448,2704.3023259582455,154.15853222076055,115.25995206951268,145.69767404175445,45.84146777923945,24721.107338737005,114.85022160987057
C,OPERATOR,0,0.0,156.09810453349735,2893.979810052421,218.16595213436608,156.173646924789,0.0,0.0,20481.704832889292,23.800000000000004
