seed,scenario,violations,offset,rate
1,A,0,0.23479106402469085,100.22940106201551
1,B,0,-0.1888695762503403,149.8068028521647
1,C,0,-0.32401224902895365,165.01020142009818
2,A,0,0.04012334671219264,100.03995107809585
2,B,0,0.16971390406209252,150.16763685423422
2,C,0,0.06243942889713594,164.88945662766466
3,A,0,-0.08586299374866257,99.91077419773862
3,B,0,-0.037098870374165926,149.96323678080728
3,C,0,-0.2859324122348994,164.89190230380325
4,A,0,-0.2300971378544432,99.77150162922632
4,B,0,0.07402430863106702,150.0763476170015
4,C,0,-0.07572817120180275,164.971863481162
5,A,0,0.0038511574239237234,100.01002011292252
5,B,0,-0.09940535108148651,149.90333758312096
5,C,0,-0.23395863650281967,164.86152167152218
6,A,0,0.046784107332470626,100.04569233650456
6,B,0,-0.08603779004212697,149.9197048552666
6,C,0,-0.34344388502424295,164.80657039875516
7,A,0,-0.06636574032216913,99.93747197874116
7,B,0,-0.0028685149507339247,150.00446875612334
7,C,0,-0.25753138432483524,164.5665602562213
8,A,0,-0.05046846563755025,99.95216052500024
8,B,0,0.04958431516439532,150.04587698252263
8,C,0,-0.06322212868673205,165.15933243566613
9,A,0,0.08110846781342218,100.06950872038874
9,B,0,0.028718093696738833,150.0297161431325
9,C,0,-0.21728757085676875,164.91186156596888
10,A,0,0.21433402477796903,100.21560671628103
10,B,0,0.1023207628107059,150.10641789536234
10,C,0,-0.05612247061927178,165.01264917546717
